report_period,town,prescription_count,rate_per_1000
2023 Quarter 3,Naugatuck,2159,68.1
2023 Quarter 3,New Britain,3588,48.23
2023 Quarter 3,New Canaan,2755,132.61
2023 Quarter 3,New Fairfield,1244,91.9
2023 Quarter 3,New Hartford,619,92.42
2023 Quarter 3,New Haven,6408,46.13
2023 Quarter 3,New London,2362,84.42
2023 Quarter 3,New Milford,2488,87.99
2023 Quarter 3,Newington,2288,75.37
2023 Quarter 3,Newtown,2829,102.59
2023 Quarter 3,Norfolk,108,67.75
2023 Quarter 3,North Branford,1317,97.82
2023 Quarter 3,North Canaan,14,4.36
2023 Quarter 3,North Haven,2313,95.92
2023 Quarter 3,North Stonington,459,88.71
2023 Quarter 3,Norwalk,5752,62.93
2023 Quarter 3,Norwich,3898,97.43
2023 Quarter 3,Old Lyme,932,121.29
2023 Quarter 3,Old Saybrook,1208,114.67
2023 Quarter 3,Orange,1055,73.99
2023 Quarter 3,Oxford,1113,86.01
2023 Quarter 3,Plainfield,1461,96.48
2023 Quarter 3,Plainville,1554,88.91
2023 Quarter 3,Plymouth,1010,86.24
2023 Quarter 3,Pomfret,401,93.1
2023 Quarter 3,Portland,943,100.01
2023 Quarter 3,Preston,577,119.21
2023 Quarter 3,Prospect,730,77.37
2023 Quarter 3,Putnam,957,102.88
2023 Quarter 3,Redding,959,109.65
2023 Quarter 3,Ridgefield,2751,110.01
2023 Quarter 3,Rocky Hill,1460,70.49
2023 Quarter 3,Roxbury,175,76.79
2023 Quarter 3,Salem,442,102.17
2023 Quarter 3,Salisbury,276,65.11
2023 Quarter 3,Scotland,39,24.73
2023 Quarter 3,Seymour,1488,88.52
2023 Quarter 3,Sharon,209,76.73
2023 Quarter 3,Shelton,3292,78.57
2023 Quarter 3,Sherman,330,93.3
2023 Quarter 3,Simsbury,2431,97.49
2023 Quarter 3,Somers,749,76.09
2023 Quarter 3,South Windsor,1880,70.19
2023 Quarter 3,Southbury,1628,81.49
2023 Quarter 3,Southington,3490,79.77
2023 Quarter 3,Sprague,322,108.86
2023 Quarter 3,Stafford,987,86.21
2023 Quarter 3,Stamford,8242,60.52
2023 Quarter 3,Sterling,407,112.34
2023 Quarter 3,Stonington,2612,141.34
2023 Quarter 3,Stratford,3321,63.28
2023 Quarter 3,Suffield,1190,75.65
2023 Quarter 3,Thomaston,610,81.68
2023 Quarter 3,Thompson,725,77.83
2023 Quarter 3,Tolland,1157,79.37
2023 Quarter 3,Torrington,3020,84.92
2023 Quarter 3,Trumbull,3127,84.21
2023 Quarter 3,Union,38,47.92
2023 Quarter 3,Vernon,2367,77.29
2023 Quarter 3,Voluntown,268,103.4
2023 Quarter 3,Wallingford,3819,86.76
2023 Quarter 3,Warren,110,81.36
2023 Quarter 3,Washington,251,68.47
2023 Quarter 3,Waterbury,5385,46.82
2023 Quarter 3,Waterford,2426,123.76
2023 Quarter 3,Watertown,1520,68.52
2023 Quarter 3,West Hartford,6136,95.47
2023 Quarter 3,West Haven,2915,53.0
2023 Quarter 3,Westbrook,794,115.74
2023 Quarter 3,Weston,1550,149.7
2023 Quarter 3,Westport,3524,128.49
2023 Quarter 3,Wethersfield,1988,73.28
2023 Quarter 3,Willington,455,82.07
2023 Quarter 3,Wilton,2072,112.26
2023 Quarter 3,Winchester,957,93.46
2023 Quarter 3,Windham,1603,65.7
2023 Quarter 3,Windsor,1857,63.05
2023 Quarter 3,Windsor Locks,873,69.63
2023 Quarter 3,Wolcott,1356,83.76
2023 Quarter 3,Woodbridge,895,98.88
2023 Quarter 3,Woodbury,956,97.53
2023 Quarter 3,Woodstock,627,75.43
2023 Quarter 4,Andover,251,79.68
2023 Quarter 4,Ansonia,1318,69.65
2023 Quarter 4,Ashford,404,95.69
2023 Quarter 4,Avon,1802,95.49
2023 Quarter 4,Barkhamsted,321,87.54
2023 Quarter 4,Beacon Falls,574,93.7
2023 Quarter 4,Berlin,1573,77.88
2023 Quarter 4,Bethany,566,107.26
2023 Quarter 4,Bethel,2089,101.0
2023 Quarter 4,Bethlehem,247,72.46
2023 Quarter 4,Bloomfield,952,44.16
2023 Quarter 4,Bolton,378,78.2
2023 Quarter 4,Bozrah,306,126.45
2023 Quarter 4,Branford,2952,104.87
2023 Quarter 4,Bridgeport,4275,28.81
2023 Quarter 4,Bridgewater,144,87.17
2023 Quarter 4,Bristol,4763,77.66
2023 Quarter 4,Brookfield,1906,108.65
2023 Quarter 4,Brooklyn,774,91.04
2023 Quarter 4,Burlington,839,86.41
2023 Quarter 4,Canaan,270,249.77
2023 Quarter 4,Canterbury,448,87.81
2023 Quarter 4,Canton,947,93.85
2023 Quarter 4,Chaplin,232,107.61
2023 Quarter 4,Cheshire,2514,86.71
2023 Quarter 4,Chester,341,90.76
2023 Quarter 4,Clinton,1549,115.61
2023 Quarter 4,Colchester,1716,110.2
2023 Quarter 4,Colebrook,70,51.13
2023 Quarter 4,Columbia,548,104.22
2023 Quarter 4,Cornwall,129,82.01
2023 Quarter 4,Coventry,1132,92.14
2023 Quarter 4,Cromwell,1252,87.45
2023 Quarter 4,Danbury,5254,60.41
2023 Quarter 4,Darien,2750,125.42
2023 Quarter 4,Deep River,540,121.48
2023 Quarter 4,Derby,947,76.63
2023 Quarter 4,Durham,621,86.17
2023 Quarter 4,East  Hampton,1196,92.28
2023 Quarter 4,East Granby,555,106.36
2023 Quarter 4,East Haddam,858,95.88
2023 Quarter 4,East Hartford,2094,41.29
2023 Quarter 4,East Haven,2266,81.86
2023 Quarter 4,East Lyme,2314,123.16
2023 Quarter 4,East Windsor,347,31.05
2023 Quarter 4,Eastford,123,73.43
2023 Quarter 4,Easton,1240,162.52
2023 Quarter 4,Ellington,1240,73.04
2023 Quarter 4,Enfield,3442,83.45
2023 Quarter 4,Essex,598,88.03
2023 Quarter 4,Fairfield,6650,105.77
2023 Quarter 4,Farmington,2113,79.06
2023 Quarter 4,Franklin,191,101.54
2023 Quarter 4,Glastonbury,3402,96.65
2023 Quarter 4,Goshen,233,72.74
2023 Quarter 4,Granby,895,81.06
2023 Quarter 4,Greenwich,6942,109.09
2023 Quarter 4,Griswold,1631,141.72
2023 Quarter 4,Groton,2844,75.35
2023 Quarter 4,Guilford,2385,108.32
2023 Quarter 4,Haddam,834,96.19
2023 Quarter 4,Hamden,3586,58.97
2023 Quarter 4,Hampton,155,89.18
2023 Quarter 4,Hartford,3847,31.88
2023 Quarter 4,Hartland,148,77.57
2023 Quarter 4,Harwinton,470,84.5
2023 Quarter 4,Hebron,861,94.4
2023 Quarter 4,Kent,253,82.92
2023 Quarter 4,Killingly,1768,99.12
2023 Quarter 4,Killingworth,624,100.02
2023 Quarter 4,Lebanon,622,87.21
2023 Quarter 4,Ledyard,1888,122.15
2023 Quarter 4,Lisbon,390,91.94
2023 Quarter 4,Litchfield,748,90.35
2023 Quarter 4,Lyme,111,46.23
2023 Quarter 4,Madison,2232,127.07
2023 Quarter 4,Manchester,4207,70.75
2023 Quarter 4,Mansfield,1156,36.18
2023 Quarter 4,Marlborough,637,104.27
2023 Quarter 4,Meriden,4033,66.95
2023 Quarter 4,Middlebury,749,95.94
2023 Quarter 4,Middlefield,409,96.28
2023 Quarter 4,Middletown,4003,82.15
2023 Quarter 4,Milford,4718,89.56
2023 Quarter 4,Monroe,1831,97.41
2023 Quarter 4,Montville,2137,119.45
2023 Quarter 4,Morris,145,63.96
2023 Quarter 4,Naugatuck,2125,67.02
2023 Quarter 4,New Britain,3682,49.49
2023 Quarter 4,New Canaan,2764,133.04
2023 Quarter 4,New Fairfield,1286,95.01
2023 Quarter 4,New Hartford,638,95.25
2023 Quarter 4,New Haven,6918,49.8
2023 Quarter 4,New London,2448,87.49
2023 Quarter 4,New Milford,2529,89.44
2023 Quarter 4,Newington,2318,76.36
2023 Quarter 4,Newtown,2974,107.84
2023 Quarter 4,Norfolk,98,61.48
2023 Quarter 4,North Branford,1320,98.04
2023 Quarter 4,North Canaan,11,3.43
2023 Quarter 4,North Haven,2322,96.29
2023 Quarter 4,North Stonington,443,85.62
2023 Quarter 4,Norwalk,5753,62.94
2023 Quarter 4,Norwich,3882,97.03
2023 Quarter 4,Old Lyme,1003,130.53
2023 Quarter 4,Old Saybrook,1189,112.86
2023 Quarter 4,Orange,1161,81.43
2023 Quarter 4,Oxford,1191,92.03
2023 Quarter 4,Plainfield,1563,103.22
2023 Quarter 4,Plainville,1537,87.93
2023 Quarter 4,Plymouth,1058,90.34
2023 Quarter 4,Pomfret,447,103.78
2023 Quarter 4,Portland,1066,113.06
2023 Quarter 4,Preston,603,124.59
2023 Quarter 4,Prospect,776,82.25
2023 Quarter 4,Putnam,974,104.71
2023 Quarter 4,Redding,964,110.22
2023 Quarter 4,Ridgefield,2764,110.53
2023 Quarter 4,Rocky Hill,1487,71.79
2023 Quarter 4,Roxbury,166,72.84
2023 Quarter 4,Salem,427,98.71
2023 Quarter 4,Salisbury,325,76.67
2023 Quarter 4,Scotland,44,27.9
2023 Quarter 4,Seymour,1504,89.48
2023 Quarter 4,Sharon,229,84.07
2023 Quarter 4,Shelton,3351,79.98
2023 Quarter 4,Sherman,334,94.43
2023 Quarter 4,Simsbury,2576,103.31
2023 Quarter 4,Somers,797,80.97
2023 Quarter 4,South Windsor,1895,70.75
2023 Quarter 4,Southbury,1657,82.94
2023 Quarter 4,Southington,3640,83.19
2023 Quarter 4,Sprague,334,112.91
2023 Quarter 4,Stafford,1045,91.27
2023 Quarter 4,Stamford,8297,60.92
2023 Quarter 4,Sterling,400,110.41
2023 Quarter 4,Stonington,2779,150.38
2023 Quarter 4,Stratford,3398,64.75
2023 Quarter 4,Suffield,1243,79.02
2023 Quarter 4,Thomaston,636,85.16
2023 Quarter 4,Thompson,724,77.72
2023 Quarter 4,Tolland,1216,83.42
2023 Quarter 4,Torrington,3101,87.2
2023 Quarter 4,Trumbull,3278,88.27
2023 Quarter 4,Union,37,46.66
2023 Quarter 4,Vernon,2477,80.88
2023 Quarter 4,Voluntown,279,107.64
2023 Quarter 4,Wallingford,3885,88.26
2023 Quarter 4,Warren,107,79.14
2023 Quarter 4,Washington,261,71.19
2023 Quarter 4,Waterbury,5392,46.88
2023 Quarter 4,Waterford,2571,131.15
2023 Quarter 4,Watertown,1570,70.77
2023 Quarter 4,West Hartford,6374,99.17
2023 Quarter 4,West Haven,2997,54.49
2023 Quarter 4,Westbrook,850,123.91
2023 Quarter 4,Weston,1591,153.66
2023 Quarter 4,Westport,3488,127.17
2023 Quarter 4,Wethersfield,2103,77.52
2023 Quarter 4,Willington,452,81.53
2023 Quarter 4,Wilton,2092,113.34
2023 Quarter 4,Winchester,971,94.82
2023 Quarter 4,Windham,1757,72.01
2023 Quarter 4,Windsor,1765,59.93
2023 Quarter 4,Windsor Locks,965,76.97
2023 Quarter 4,Wolcott,1447,89.38
2023 Quarter 4,Woodbridge,902,99.66
2023 Quarter 4,Woodbury,936,95.49
2023 Quarter 4,Woodstock,663,79.76
2024 Quarter 1,Andover,284,90.16
2024 Quarter 1,Ansonia,1485,78.48
2024 Quarter 1,Ashford,396,93.79
2024 Quarter 1,Avon,1831,97.03
2024 Quarter 1,Barkhamsted,332,90.54
2024 Quarter 1,Beacon Falls,613,100.07
2024 Quarter 1,Berlin,1601,79.27
2024 Quarter 1,Bethany,606,114.84
2024 Quarter 1,Bethel,2181,105.44
2024 Quarter 1,Bethlehem,246,72.16
2024 Quarter 1,Bloomfield,980,45.45
2024 Quarter 1,Bolton,374,77.37
2024 Quarter 1,Bozrah,316,130.58
2024 Quarter 1,Branford,2996,106.44
2024 Quarter 1,Bridgeport,4306,29.02
2024 Quarter 1,Bridgewater,152,92.01
2024 Quarter 1,Bristol,4888,79.7
2024 Quarter 1,Brookfield,1859,105.97
2024 Quarter 1,Brooklyn,853,100.33
2024 Quarter 1,Burlington,855,88.05
2024 Quarter 1,Canaan,85,78.63
2024 Quarter 1,Canterbury,488,95.65
2024 Quarter 1,Canton,906,89.78
2024 Quarter 1,Chaplin,259,120.13
2024 Quarter 1,Cheshire,2734,94.3
2024 Quarter 1,Chester,364,96.89
2024 Quarter 1,Clinton,1517,113.22
2024 Quarter 1,Colchester,1737,111.55
2024 Quarter 1,Colebrook,81,59.17
2024 Quarter 1,Columbia,547,104.03
2024 Quarter 1,Cornwall,121,76.92
2024 Quarter 1,Coventry,1150,93.61
2024 Quarter 1,Cromwell,1257,87.8
2024 Quarter 1,Danbury,5382,61.89
2024 Quarter 1,Darien,2767,126.2
2024 Quarter 1,Deep River,534,120.13
2024 Quarter 1,Derby,1031,83.43
2024 Quarter 1,Durham,632,87.69
2024 Quarter 1,East Granby,542,103.87
2024 Quarter 1,East Haddam,892,99.68
2024 Quarter 1,East Hampton,1285,99.15
2024 Quarter 1,East Hartford,2317,45.68
2024 Quarter 1,East Haven,2294,82.87
2024 Quarter 1,East Lyme,2440,129.87
2024 Quarter 1,East Windsor,306,27.38
2024 Quarter 1,Eastford,123,73.43
2024 Quarter 1,Easton,1262,165.4
2024 Quarter 1,Ellington,1261,74.28
2024 Quarter 1,Enfield,3450,83.65
2024 Quarter 1,Essex,615,90.53
2024 Quarter 1,Fairfield,6635,105.53
2024 Quarter 1,Farmington,2120,79.32
2024 Quarter 1,Franklin,207,110.05
2024 Quarter 1,Glastonbury,3467,98.5
2024 Quarter 1,Goshen,195,60.88
2024 Quarter 1,Granby,956,86.59
2024 Quarter 1,Greenwich,6851,107.66
2024 Quarter 1,Griswold,1662,144.41
2024 Quarter 1,Groton,2936,77.79
2024 Quarter 1,Guilford,2483,112.77
2024 Quarter 1,Haddam,818,94.35
2024 Quarter 1,Hamden,3660,60.19
2024 Quarter 1,Hampton,175,100.69
2024 Quarter 1,Hartford,3988,33.04
2024 Quarter 1,Hartland,137,71.8
2024 Quarter 1,Harwinton,480,86.3
2024 Quarter 1,Hebron,841,92.2
2024 Quarter 1,Kent,248,81.28
2024 Quarter 1,Killingly,1806,101.25
2024 Quarter 1,Killingworth,624,100.02
2024 Quarter 1,Lebanon,643,90.16
2024 Quarter 1,Ledyard,1974,127.72
2024 Quarter 1,Lisbon,403,95.0
2024 Quarter 1,Litchfield,782,94.46
2024 Quarter 1,Lyme,114,47.48
2024 Quarter 1,Madison,2290,130.37
2024 Quarter 1,Manchester,4321,72.67
2024 Quarter 1,Mansfield,1169,36.59
2024 Quarter 1,Marlborough,663,108.53
2024 Quarter 1,Meriden,4192,69.59
2024 Quarter 1,Middlebury,756,96.84
2024 Quarter 1,Middlefield,400,94.16
2024 Quarter 1,Middletown,3965,81.37
2024 Quarter 1,Milford,4835,91.78
2024 Quarter 1,Monroe,1781,94.75
2024 Quarter 1,Montville,2265,126.6
2024 Quarter 1,Morris,140,61.76
2024 Quarter 1,Naugatuck,2250,70.97
2024 Quarter 1,New Britain,3808,51.19
2024 Quarter 1,New Canaan,2766,133.14
2024 Quarter 1,New Fairfield,1219,90.06
2024 Quarter 1,New Hartford,645,96.3
2024 Quarter 1,New Haven,7015,50.5
2024 Quarter 1,New London,2622,93.71
2024 Quarter 1,New Milford,2606,92.17
2024 Quarter 1,Newington,2387,78.63
2024 Quarter 1,Newtown,3025,109.69
2024 Quarter 1,Norfolk,130,81.56
2024 Quarter 1,North Branford,1422,105.61
2024 Quarter 1,North Canaan,255,79.46
2024 Quarter 1,North Haven,2320,96.21
2024 Quarter 1,North Stonington,534,103.21
2024 Quarter 1,Norwalk,5959,65.2
2024 Quarter 1,Norwich,4056,101.38
2024 Quarter 1,Old Lyme,1037,134.96
2024 Quarter 1,Old Saybrook,1148,108.97
2024 Quarter 1,Orange,1178,82.62
2024 Quarter 1,Oxford,1187,91.72
2024 Quarter 1,Plainfield,1525,100.71
2024 Quarter 1,Plainville,1587,90.79
2024 Quarter 1,Plymouth,1126,96.15
2024 Quarter 1,Pomfret,468,108.66
2024 Quarter 1,Portland,1047,111.04
2024 Quarter 1,Preston,600,123.97
2024 Quarter 1,Prospect,788,83.52
2024 Quarter 1,Putnam,985,105.89
2024 Quarter 1,Redding,1035,118.34
2024 Quarter 1,Ridgefield,2791,111.61
2024 Quarter 1,Rocky Hill,1522,73.48
2024 Quarter 1,Roxbury,194,85.13
2024 Quarter 1,Salem,456,105.41
2024 Quarter 1,Salisbury,364,85.87
2024 Quarter 1,Scotland,48,30.44
2024 Quarter 1,Seymour,1555,92.51
2024 Quarter 1,Sharon,196,71.95
2024 Quarter 1,Shelton,3325,79.36
2024 Quarter 1,Sherman,340,96.13
2024 Quarter 1,Simsbury,2549,102.23
2024 Quarter 1,Somers,788,80.06
2024 Quarter 1,South Windsor,1950,72.81
2024 Quarter 1,Southbury,1774,88.79
2024 Quarter 1,Southington,3688,84.29
2024 Quarter 1,Sprague,360,121.7
2024 Quarter 1,Stafford,1034,90.31
2024 Quarter 1,Stamford,8402,61.69
2024 Quarter 1,Sterling,446,123.1
2024 Quarter 1,Stonington,2884,156.06
2024 Quarter 1,Stratford,3414,65.06
2024 Quarter 1,Suffield,1310,83.28
2024 Quarter 1,Thomaston,650,87.04
2024 Quarter 1,Thompson,734,78.8
2024 Quarter 1,Tolland,1276,87.54
2024 Quarter 1,Torrington,3100,87.17
2024 Quarter 1,Trumbull,3473,93.52
2024 Quarter 1,Union,39,49.18
2024 Quarter 1,Vernon,2506,81.83
2024 Quarter 1,Voluntown,299,115.35
2024 Quarter 1,Wallingford,4079,92.67
2024 Quarter 1,Warren,130,96.15
2024 Quarter 1,Washington,275,75.01
2024 Quarter 1,Waterbury,5571,48.44
2024 Quarter 1,Waterford,2499,127.48
2024 Quarter 1,Watertown,1628,73.39
2024 Quarter 1,West Hartford,6568,102.19
2024 Quarter 1,West Haven,3039,55.25
2024 Quarter 1,Westbrook,815,118.8
2024 Quarter 1,Weston,1616,156.07
2024 Quarter 1,Westport,3607,131.51
2024 Quarter 1,Wethersfield,2157,79.51
2024 Quarter 1,Willington,471,84.96
2024 Quarter 1,Wilton,2162,117.14
2024 Quarter 1,Winchester,962,93.95
2024 Quarter 1,Windham,1768,72.46
2024 Quarter 1,Windsor,1817,61.69
2024 Quarter 1,Windsor Locks,950,75.78
2024 Quarter 1,Wolcott,1465,90.49
2024 Quarter 1,Woodbridge,934,103.19
2024 Quarter 1,Woodbury,912,93.04
2024 Quarter 1,Woodstock,646,77.72
2024 Quarter 2,Andover,287,91.11
2024 Quarter 2,Ansonia,1512,79.9
2024 Quarter 2,Ashford,411,97.35
2024 Quarter 2,Avon,1849,97.98
2024 Quarter 2,Barkhamsted,344,93.81
2024 Quarter 2,Beacon Falls,680,111.0
2024 Quarter 2,Berlin,1661,82.24
2024 Quarter 2,Bethany,626,118.63
2024 Quarter 2,Bethel,2272,109.84
2024 Quarter 2,Bethlehem,264,77.44
2024 Quarter 2,Bloomfield,1052,48.79
2024 Quarter 2,Bolton,411,85.02
2024 Quarter 2,Bozrah,318,131.4
2024 Quarter 2,Branford,3160,112.26
2024 Quarter 2,Bridgeport,4477,30.17
2024 Quarter 2,Bridgewater,163,98.67
2024 Quarter 2,Bristol,5067,82.62
2024 Quarter 2,Brookfield,1828,104.2
2024 Quarter 2,Brooklyn,878,103.27
2024 Quarter 2,Burlington,833,85.79
2024 Quarter 2,Canaan,100,92.51
2024 Quarter 2,Canterbury,522,102.31
2024 Quarter 2,Canton,1014,100.49
2024 Quarter 2,Chaplin,243,112.71
2024 Quarter 2,Cheshire,2742,94.57
2024 Quarter 2,Chester,364,96.89
2024 Quarter 2,Clinton,1625,121.28
2024 Quarter 2,Colchester,1915,122.98
2024 Quarter 2,Colebrook,73,53.32
2024 Quarter 2,Columbia,603,114.68
2024 Quarter 2,Cornwall,125,79.47
2024 Quarter 2,Coventry,1210,98.49
2024 Quarter 2,Cromwell,1345,93.94
2024 Quarter 2,Danbury,5689,65.42
2024 Quarter 2,Darien,2873,131.03
2024 Quarter 2,Deep River,592,133.18
2024 Quarter 2,Derby,1121,90.71
2024 Quarter 2,Durham,635,88.11
2024 Quarter 2,East Granby,558,106.94
2024 Quarter 2,East Haddam,848,94.76
2024 Quarter 2,East Hampton,1375,106.1
2024 Quarter 2,East Hartford,2381,46.95
2024 Quarter 2,East Haven,2361,85.29
2024 Quarter 2,East Lyme,2472,131.57
2024 Quarter 2,East Windsor,334,29.89
2024 Quarter 2,Eastford,140,83.58
2024 Quarter 2,Easton,1266,165.92
2024 Quarter 2,Ellington,1399,82.41
2024 Quarter 2,Enfield,3568,86.51
2024 Quarter 2,Essex,598,88.03
2024 Quarter 2,Fairfield,7044,112.04
2024 Quarter 2,Farmington,2261,84.59
2024 Quarter 2,Franklin,208,110.58
2024 Quarter 2,Glastonbury,3530,100.29
2024 Quarter 2,Goshen,211,65.88
2024 Quarter 2,Granby,1003,90.84
2024 Quarter 2,Greenwich,7172,112.7
2024 Quarter 2,Griswold,1768,153.62
2024 Quarter 2,Groton,3041,80.57
2024 Quarter 2,Guilford,2535,115.13
2024 Quarter 2,Haddam,876,101.04
2024 Quarter 2,Hamden,3767,61.95
2024 Quarter 2,Hampton,199,114.5
2024 Quarter 2,Hartford,4087,33.86
2024 Quarter 2,Hartland,120,62.89
2024 Quarter 2,Harwinton,491,88.28
2024 Quarter 2,Hebron,862,94.51
2024 Quarter 2,Kent,247,80.96
2024 Quarter 2,Killingly,1895,106.24
2024 Quarter 2,Killingworth,646,103.54
2024 Quarter 2,Lebanon,647,90.72
2024 Quarter 2,Ledyard,2076,134.32
2024 Quarter 2,Lisbon,398,93.82
2024 Quarter 2,Litchfield,749,90.47
2024 Quarter 2,Lyme,116,48.31
2024 Quarter 2,Madison,2251,128.15
2024 Quarter 2,Manchester,4479,75.33
2024 Quarter 2,Mansfield,1232,38.56
2024 Quarter 2,Marlborough,752,123.1
2024 Quarter 2,Meriden,4456,73.97
2024 Quarter 2,Middlebury,810,103.75
2024 Quarter 2,Middlefield,431,101.46
2024 Quarter 2,Middletown,4351,89.29
2024 Quarter 2,Milford,5010,95.1
2024 Quarter 2,Monroe,1876,99.81
2024 Quarter 2,Montville,2394,133.81
2024 Quarter 2,Morris,139,61.31
2024 Quarter 2,Naugatuck,2426,76.52
2024 Quarter 2,New Britain,3911,52.57
2024 Quarter 2,New Canaan,2922,140.65
2024 Quarter 2,New Fairfield,1327,98.03
2024 Quarter 2,New Hartford,671,100.18
2024 Quarter 2,New Haven,7225,52.01
2024 Quarter 2,New London,2662,95.14
2024 Quarter 2,New Milford,2521,89.16
2024 Quarter 2,Newington,2421,79.75
2024 Quarter 2,Newtown,3269,118.54
2024 Quarter 2,Norfolk,127,79.67
2024 Quarter 2,North Branford,1410,104.72
2024 Quarter 2,North Canaan,220,68.56
2024 Quarter 2,North Haven,2412,100.02
2024 Quarter 2,North Stonington,501,96.83
2024 Quarter 2,Norwalk,6282,68.73
2024 Quarter 2,Norwich,4093,102.3
2024 Quarter 2,Old Lyme,1000,130.14
2024 Quarter 2,Old Saybrook,1216,115.42
2024 Quarter 2,Orange,1194,83.74
2024 Quarter 2,Oxford,1264,97.67
2024 Quarter 2,Plainfield,1691,111.67
2024 Quarter 2,Plainville,1731,99.03
2024 Quarter 2,Plymouth,1090,93.07
2024 Quarter 2,Pomfret,461,107.04
2024 Quarter 2,Portland,1057,112.1
2024 Quarter 2,Preston,614,126.86
2024 Quarter 2,Prospect,808,85.64
2024 Quarter 2,Putnam,1054,113.31
2024 Quarter 2,Redding,1069,122.23
2024 Quarter 2,Ridgefield,3039,121.53
2024 Quarter 2,Rocky Hill,1597,77.11
2024 Quarter 2,Roxbury,177,77.67
2024 Quarter 2,Salem,472,109.11
2024 Quarter 2,Salisbury,303,71.48
2024 Quarter 2,Scotland,50,31.71
2024 Quarter 2,Seymour,1660,98.76
2024 Quarter 2,Sharon,218,80.03
2024 Quarter 2,Shelton,3479,83.04
2024 Quarter 2,Sherman,365,103.19
2024 Quarter 2,Simsbury,2708,108.6
