report_period,town,prescription_count,rate_per_1000
2024 Quarter 2,Somers,839,85.24
2024 Quarter 2,South Windsor,2048,76.47
2024 Quarter 2,Southbury,1852,92.7
2024 Quarter 2,Southington,3900,89.14
2024 Quarter 2,Sprague,389,131.51
2024 Quarter 2,Stafford,1043,91.1
2024 Quarter 2,Stamford,8633,63.39
2024 Quarter 2,Sterling,448,123.65
2024 Quarter 2,Stonington,3036,164.29
2024 Quarter 2,Stratford,3471,66.14
2024 Quarter 2,Suffield,1218,77.43
2024 Quarter 2,Thomaston,629,84.23
2024 Quarter 2,Thompson,769,82.56
2024 Quarter 2,Tolland,1323,90.76
2024 Quarter 2,Torrington,3329,93.61
2024 Quarter 2,Trumbull,3562,95.92
2024 Quarter 2,Union,39,49.18
2024 Quarter 2,Vernon,2645,86.37
2024 Quarter 2,Voluntown,314,121.14
2024 Quarter 2,Wallingford,4164,94.6
2024 Quarter 2,Warren,111,82.1
2024 Quarter 2,Washington,302,82.38
2024 Quarter 2,Waterbury,5748,49.98
2024 Quarter 2,Waterford,2699,137.68
2024 Quarter 2,Watertown,1738,78.35
2024 Quarter 2,West Hartford,6746,104.96
2024 Quarter 2,West Haven,3224,58.61
2024 Quarter 2,Westbrook,866,126.24
2024 Quarter 2,Weston,1615,155.98
2024 Quarter 2,Westport,3579,130.49
2024 Quarter 2,Wethersfield,2304,84.93
2024 Quarter 2,Willington,485,87.48
2024 Quarter 2,Wilton,2158,116.92
2024 Quarter 2,Winchester,969,94.63
2024 Quarter 2,Windham,1857,76.11
2024 Quarter 2,Windsor,1838,62.4
2024 Quarter 2,Windsor Locks,957,76.33
2024 Quarter 2,Wolcott,1519,93.82
2024 Quarter 2,Woodbridge,969,107.06
2024 Quarter 2,Woodbury,983,100.29
2024 Quarter 2,Woodstock,673,80.97
2024 Quarter 3,Andover,294,93.51
2024 Quarter 3,Ansonia,1488,78.28
2024 Quarter 3,Ashford,390,92.22
2024 Quarter 3,Avon,1831,96.97
2024 Quarter 3,Barkhamsted,360,97.91
2024 Quarter 3,Beacon Falls,656,105.7
2024 Quarter 3,Berlin,1645,80.52
2024 Quarter 3,Bethany,589,111.74
2024 Quarter 3,Bethel,2211,106.93
2024 Quarter 3,Bethlehem,252,73.66
2024 Quarter 3,Bloomfield,1064,48.62
2024 Quarter 3,Bolton,406,83.99
2024 Quarter 3,Bozrah,296,122.72
2024 Quarter 3,Branford,3167,112.98
2024 Quarter 3,Bridgeport,4311,29.12
2024 Quarter 3,Bridgewater,151,91.74
2024 Quarter 3,Bristol,5132,83.31
2024 Quarter 3,Brookfield,1871,106.98
2024 Quarter 3,Brooklyn,815,94.64
2024 Quarter 3,Burlington,911,93.47
2024 Quarter 3,Canaan,70,64.7
2024 Quarter 3,Canterbury,535,104.09
2024 Quarter 3,Canton,994,97.97
2024 Quarter 3,Chaplin,262,121.46
2024 Quarter 3,Cheshire,2800,95.89
2024 Quarter 3,Chester,363,96.52
2024 Quarter 3,Clinton,1524,113.71
2024 Quarter 3,Colchester,1886,121.65
2024 Quarter 3,Colebrook,69,50.44
2024 Quarter 3,Columbia,593,112.57
2024 Quarter 3,Cornwall,138,87.62
2024 Quarter 3,Coventry,1268,103.02
2024 Quarter 3,Cromwell,1300,90.51
2024 Quarter 3,Danbury,5431,63.06
2024 Quarter 3,Darien,2958,134.33
2024 Quarter 3,Deep River,592,132.91
2024 Quarter 3,Derby,1080,87.05
2024 Quarter 3,Durham,636,88.28
2024 Quarter 3,East Granby,601,115.18
2024 Quarter 3,East Haddam,814,90.58
2024 Quarter 3,East Hampton,1336,102.86
2024 Quarter 3,East Hartford,2339,46.18
2024 Quarter 3,East Haven,2399,87.13
2024 Quarter 3,East Lyme,2421,127.9
2024 Quarter 3,East Windsor,332,29.72
2024 Quarter 3,Eastford,144,85.26
2024 Quarter 3,Easton,1327,173.78
2024 Quarter 3,Ellington,1324,77.91
2024 Quarter 3,Enfield,3518,86.24
2024 Quarter 3,Essex,586,86.15
2024 Quarter 3,Fairfield,7028,110.79
2024 Quarter 3,Farmington,2216,82.69
2024 Quarter 3,Franklin,222,117.4
2024 Quarter 3,Glastonbury,3516,99.88
2024 Quarter 3,Goshen,211,65.28
2024 Quarter 3,Granby,961,85.43
2024 Quarter 3,Greenwich,7000,110.11
2024 Quarter 3,Griswold,1633,140.49
2024 Quarter 3,Groton,3076,81.21
2024 Quarter 3,Guilford,2607,118.39
2024 Quarter 3,Haddam,802,91.42
2024 Quarter 3,Hamden,3723,62.04
2024 Quarter 3,Hampton,201,115.52
2024 Quarter 3,Hartford,3968,33.16
2024 Quarter 3,Hartland,115,60.15
2024 Quarter 3,Harwinton,498,88.74
2024 Quarter 3,Hebron,829,90.64
2024 Quarter 3,Kent,238,77.63
2024 Quarter 3,Killingly,1894,105.54
2024 Quarter 3,Killingworth,627,100.26
2024 Quarter 3,Lebanon,647,91.02
2024 Quarter 3,Ledyard,2067,133.71
2024 Quarter 3,Lisbon,381,90.11
2024 Quarter 3,Litchfield,798,96.23
2024 Quarter 3,Lyme,136,56.45
2024 Quarter 3,Madison,2247,128.41
2024 Quarter 3,Manchester,4497,75.7
2024 Quarter 3,Mansfield,1204,47.4
2024 Quarter 3,Marlborough,646,105.8
2024 Quarter 3,Meriden,4278,71.17
2024 Quarter 3,Middlebury,789,99.42
2024 Quarter 3,Middlefield,395,92.79
2024 Quarter 3,Middletown,4196,87.45
2024 Quarter 3,Milford,5086,96.34
2024 Quarter 3,Monroe,1870,99.3
2024 Quarter 3,Montville,2462,138.21
2024 Quarter 3,Morris,144,63.38
2024 Quarter 3,Naugatuck,2419,76.02
2024 Quarter 3,New Britain,3854,52.02
2024 Quarter 3,New Canaan,2866,137.38
2024 Quarter 3,New Fairfield,1290,95.65
2024 Quarter 3,New Hartford,671,100.01
2024 Quarter 3,New Haven,7256,53.62
2024 Quarter 3,New London,2569,93.21
2024 Quarter 3,New Milford,2675,94.6
2024 Quarter 3,Newington,2464,78.91
2024 Quarter 3,Newtown,3126,112.96
2024 Quarter 3,Norfolk,129,80.83
2024 Quarter 3,North Branford,1410,105.11
2024 Quarter 3,North Canaan,233,72.72
2024 Quarter 3,North Haven,2379,97.92
2024 Quarter 3,North Stonington,506,97.97
2024 Quarter 3,Norwalk,6206,67.12
2024 Quarter 3,Norwich,4165,104.44
2024 Quarter 3,Old Lyme,1051,136.56
2024 Quarter 3,Old Saybrook,1216,115.03
2024 Quarter 3,Orange,1186,82.81
2024 Quarter 3,Oxford,1106,84.27
2024 Quarter 3,Plainfield,1686,110.97
2024 Quarter 3,Plainville,1658,94.79
2024 Quarter 3,Plymouth,1057,89.84
2024 Quarter 3,Pomfret,500,115.93
2024 Quarter 3,Portland,1002,106.28
2024 Quarter 3,Preston,642,132.95
2024 Quarter 3,Prospect,808,85.24
2024 Quarter 3,Putnam,1021,109.64
2024 Quarter 3,Redding,1004,115.15
2024 Quarter 3,Ridgefield,2990,119.93
2024 Quarter 3,Rocky Hill,1603,77.41
2024 Quarter 3,Roxbury,163,70.96
2024 Quarter 3,Salem,482,111.6
2024 Quarter 3,Salisbury,264,62.26
2024 Quarter 3,Scotland,56,35.49
2024 Quarter 3,Seymour,1580,93.2
2024 Quarter 3,Sharon,226,82.36
2024 Quarter 3,Shelton,3380,80.2
2024 Quarter 3,Sherman,381,107.93
2024 Quarter 3,Simsbury,2759,110.57
2024 Quarter 3,Somers,842,78.51
2024 Quarter 3,South Windsor,2058,76.87
2024 Quarter 3,Southbury,1803,89.58
2024 Quarter 3,Southington,3789,86.62
2024 Quarter 3,Sprague,389,132.31
2024 Quarter 3,Stafford,1066,92.16
2024 Quarter 3,Stamford,8935,65.59
2024 Quarter 3,Sterling,430,118.0
2024 Quarter 3,Stonington,3068,166.46
2024 Quarter 3,Stratford,3399,64.8
2024 Quarter 3,Suffield,1188,75.91
2024 Quarter 3,Thomaston,609,81.19
2024 Quarter 3,Thompson,711,75.76
2024 Quarter 3,Tolland,1318,90.44
2024 Quarter 3,Torrington,3267,91.9
2024 Quarter 3,Trumbull,3499,93.88
2024 Quarter 3,Union,52,65.24
2024 Quarter 3,Vernon,2689,87.89
2024 Quarter 3,Voluntown,264,101.07
2024 Quarter 3,Wallingford,4158,95.09
2024 Quarter 3,Warren,126,92.17
2024 Quarter 3,Washington,307,83.31
2024 Quarter 3,Waterbury,5413,47.07
2024 Quarter 3,Waterford,2745,138.43
2024 Quarter 3,Watertown,1730,77.67
2024 Quarter 3,West Hartford,6880,107.55
2024 Quarter 3,West Haven,3198,58.37
2024 Quarter 3,Westbrook,854,124.11
2024 Quarter 3,Weston,1639,158.45
2024 Quarter 3,Westport,3538,128.8
2024 Quarter 3,Wethersfield,2294,84.61
2024 Quarter 3,Willington,466,83.93
2024 Quarter 3,Wilton,2222,120.76
2024 Quarter 3,Winchester,911,89.0
2024 Quarter 3,Windham,1840,77.2
2024 Quarter 3,Windsor,1887,64.24
2024 Quarter 3,Windsor Locks,983,78.46
2024 Quarter 3,Wolcott,1538,94.3
2024 Quarter 3,Woodbridge,929,102.98
2024 Quarter 3,Woodbury,945,95.82
2024 Quarter 3,Woodstock,673,80.64
2024 Quarter 4,Andover,296,94.15
2024 Quarter 4,Ansonia,1484,78.07
2024 Quarter 4,Ashford,439,103.81
2024 Quarter 4,Avon,1909,101.1
2024 Quarter 4,Barkhamsted,403,109.6
2024 Quarter 4,Beacon Falls,603,97.16
2024 Quarter 4,Berlin,1651,80.82
2024 Quarter 4,Bethany,609,115.54
2024 Quarter 4,Bethel,2303,111.37
2024 Quarter 4,Bethlehem,259,75.71
2024 Quarter 4,Bloomfield,1097,50.13
2024 Quarter 4,Bolton,416,86.06
2024 Quarter 4,Bozrah,309,128.11
2024 Quarter 4,Branford,3298,117.66
2024 Quarter 4,Bridgeport,4660,31.48
2024 Quarter 4,Bridgewater,0,0.0
2024 Quarter 4,Bristol,5195,84.33
2024 Quarter 4,Brookfield,1942,111.04
2024 Quarter 4,Brooklyn,887,103.0
2024 Quarter 4,Burlington,950,97.48
2024 Quarter 4,Canaan,76,70.24
2024 Quarter 4,Canterbury,518,100.78
2024 Quarter 4,Canton,1063,104.77
2024 Quarter 4,Chaplin,233,108.02
2024 Quarter 4,Cheshire,2944,100.82
2024 Quarter 4,Chester,375,99.71
2024 Quarter 4,Clinton,1634,121.92
2024 Quarter 4,Colchester,1973,127.26
2024 Quarter 4,Colebrook,91,66.52
2024 Quarter 4,Columbia,633,120.16
2024 Quarter 4,Cornwall,129,81.9
2024 Quarter 4,Coventry,1303,105.87
2024 Quarter 4,Cromwell,1331,92.67
2024 Quarter 4,Danbury,5452,63.3
2024 Quarter 4,Darien,2997,136.1
2024 Quarter 4,Deep River,577,129.55
2024 Quarter 4,Derby,1089,87.78
2024 Quarter 4,Durham,674,93.56
2024 Quarter 4,East Granby,645,123.61
2024 Quarter 4,East Haddam,907,100.92
2024 Quarter 4,East Hampton,1488,114.56
2024 Quarter 4,East Hartford,2476,48.88
2024 Quarter 4,East Haven,2359,85.68
2024 Quarter 4,East Lyme,2549,134.66
2024 Quarter 4,East Windsor,390,34.91
2024 Quarter 4,Eastford,151,89.4
2024 Quarter 4,Easton,1311,171.69
2024 Quarter 4,Ellington,1401,82.44
2024 Quarter 4,Enfield,3602,88.3
2024 Quarter 4,Essex,633,93.06
2024 Quarter 4,Fairfield,7271,114.62
2024 Quarter 4,Farmington,2277,84.97
2024 Quarter 4,Franklin,217,114.75
2024 Quarter 4,Glastonbury,3706,105.27
2024 Quarter 4,Goshen,221,68.38
2024 Quarter 4,Granby,958,85.16
2024 Quarter 4,Greenwich,7336,115.39
2024 Quarter 4,Griswold,1659,142.72
2024 Quarter 4,Groton,3131,82.66
2024 Quarter 4,Guilford,2731,124.02
2024 Quarter 4,Haddam,889,101.33
2024 Quarter 4,Hamden,3881,64.67
2024 Quarter 4,Hampton,218,125.29
2024 Quarter 4,Hartford,4308,36.0
2024 Quarter 4,Hartland,128,66.95
2024 Quarter 4,Harwinton,546,97.29
2024 Quarter 4,Hebron,893,97.64
2024 Quarter 4,Kent,276,90.02
2024 Quarter 4,Killingly,1942,108.22
2024 Quarter 4,Killingworth,685,109.53
2024 Quarter 4,Lebanon,684,96.23
2024 Quarter 4,Ledyard,2082,134.68
2024 Quarter 4,Lisbon,440,104.07
2024 Quarter 4,Litchfield,795,95.86
2024 Quarter 4,Lyme,131,54.38
2024 Quarter 4,Madison,2404,137.39
2024 Quarter 4,Manchester,4652,78.31
2024 Quarter 4,Mansfield,1220,48.03
2024 Quarter 4,Marlborough,709,116.12
2024 Quarter 4,Meriden,4439,73.85
2024 Quarter 4,Middlebury,770,97.03
2024 Quarter 4,Middlefield,417,97.96
2024 Quarter 4,Middletown,4335,90.34
2024 Quarter 4,Milford,5404,102.36
2024 Quarter 4,Monroe,1926,102.28
2024 Quarter 4,Montville,2428,136.3
2024 Quarter 4,Morris,141,62.06
2024 Quarter 4,Naugatuck,2499,78.54
2024 Quarter 4,New Britain,3960,53.46
2024 Quarter 4,New Canaan,3010,144.28
2024 Quarter 4,New Fairfield,1315,97.5
2024 Quarter 4,New Hartford,678,101.06
2024 Quarter 4,New Haven,7899,58.37
2024 Quarter 4,New London,2704,98.11
2024 Quarter 4,New Milford,2705,95.66
2024 Quarter 4,Newington,2543,81.44
2024 Quarter 4,Newtown,3210,116.0
2024 Quarter 4,Norfolk,144,90.23
2024 Quarter 4,North Branford,1415,105.48
2024 Quarter 4,North Canaan,251,78.34
2024 Quarter 4,North Haven,2440,100.43
2024 Quarter 4,North Stonington,501,97.0
2024 Quarter 4,Norwalk,6437,69.62
2024 Quarter 4,Norwich,4314,108.17
2024 Quarter 4,Old Lyme,1047,136.04
2024 Quarter 4,Old Saybrook,1205,113.99
2024 Quarter 4,Orange,1210,84.49
2024 Quarter 4,Oxford,1182,90.06
2024 Quarter 4,Plainfield,1722,113.34
2024 Quarter 4,Plainville,1726,98.68
2024 Quarter 4,Plymouth,1077,91.53
2024 Quarter 4,Pomfret,542,125.67
2024 Quarter 4,Portland,1044,110.73
2024 Quarter 4,Preston,665,137.71
2024 Quarter 4,Prospect,811,85.56
2024 Quarter 4,Putnam,1150,123.5
2024 Quarter 4,Redding,1117,128.11
2024 Quarter 4,Ridgefield,3088,123.86
2024 Quarter 4,Rocky Hill,1608,77.65
2024 Quarter 4,Roxbury,162,70.53
2024 Quarter 4,Salem,496,114.84
2024 Quarter 4,Salisbury,266,62.74
2024 Quarter 4,Scotland,72,45.63
2024 Quarter 4,Seymour,1553,91.61
2024 Quarter 4,Sharon,232,84.55
2024 Quarter 4,Shelton,3356,79.63
2024 Quarter 4,Sherman,358,101.42
2024 Quarter 4,Simsbury,2759,110.57
2024 Quarter 4,Somers,865,80.65
2024 Quarter 4,South Windsor,2082,77.76
2024 Quarter 4,Southbury,1785,88.69
2024 Quarter 4,Southington,3968,90.71
2024 Quarter 4,Sprague,403,137.07
2024 Quarter 4,Stafford,1141,98.64
2024 Quarter 4,Stamford,9167,67.29
2024 Quarter 4,Sterling,433,118.83
2024 Quarter 4,Stonington,3068,166.46
2024 Quarter 4,Stratford,3570,68.06
2024 Quarter 4,Suffield,1325,84.66
2024 Quarter 4,Thomaston,604,80.52
2024 Quarter 4,Thompson,729,77.68
2024 Quarter 4,Tolland,1368,93.87
2024 Quarter 4,Torrington,3373,94.88
2024 Quarter 4,Trumbull,3742,100.41
2024 Quarter 4,Union,49,61.48
2024 Quarter 4,Vernon,2848,93.08
2024 Quarter 4,Voluntown,285,109.11
2024 Quarter 4,Wallingford,4287,98.04
2024 Quarter 4,Warren,115,84.13
2024 Quarter 4,Washington,326,88.47
2024 Quarter 4,Waterbury,5553,48.29
2024 Quarter 4,Waterford,2825,142.47
2024 Quarter 4,Watertown,1785,80.14
2024 Quarter 4,West Hartford,7074,110.58
2024 Quarter 4,West Haven,3214,58.66
2024 Quarter 4,Westbrook,898,130.5
2024 Quarter 4,Weston,1747,168.89
2024 Quarter 4,Westport,898,32.69
2024 Quarter 4,Wethersfield,2402,88.59
2024 Quarter 4,Willington,519,93.48
2024 Quarter 4,Wilton,2288,124.35
2024 Quarter 4,Winchester,990,96.72
2024 Quarter 4,Windham,1923,80.69
2024 Quarter 4,Windsor,1904,64.82
2024 Quarter 4,Windsor Locks,1022,81.57
2024 Quarter 4,Wolcott,1490,91.36
2024 Quarter 4,Woodbridge,1016,112.63
2024 Quarter 4,Woodbury,959,97.24
2024 Quarter 4,Woodstock,703,84.23
2025 Quarter 1,Andover,293,93.19
2025 Quarter 1,Ansonia,1498,78.81
2025 Quarter 1,Ashford,457,108.06
2025 Quarter 1,Avon,1957,103.64
2025 Quarter 1,Barkhamsted,417,113.41
2025 Quarter 1,Beacon Falls,617,99.42
2025 Quarter 1,Berlin,1678,82.14
2025 Quarter 1,Bethany,647,122.75
2025 Quarter 1,Bethel,2341,113.21
2025 Quarter 1,Bethlehem,256,74.83
2025 Quarter 1,Bloomfield,1099,50.22
2025 Quarter 1,Bolton,442,91.44
2025 Quarter 1,Bozrah,302,125.21
2025 Quarter 1,Branford,3303,117.83
2025 Quarter 1,Bridgeport,4785,32.32
2025 Quarter 1,Bridgewater,152,92.35
2025 Quarter 1,Bristol,5349,86.83
2025 Quarter 1,Brookfield,1987,113.61
2025 Quarter 1,Brooklyn,873,101.37
2025 Quarter 1,Burlington,938,96.24
2025 Quarter 1,Canaan,72,66.54
2025 Quarter 1,Canterbury,512,99.61
2025 Quarter 1,Canton,1084,106.84
2025 Quarter 1,Chaplin,239,110.8
2025 Quarter 1,Cheshire,2937,100.58
2025 Quarter 1,Chester,358,95.19
2025 Quarter 1,Clinton,1647,122.89
2025 Quarter 1,Colchester,2033,131.13
2025 Quarter 1,Colebrook,92,67.25
2025 Quarter 1,Columbia,584,110.86
2025 Quarter 1,Cornwall,138,87.62
2025 Quarter 1,Coventry,1419,115.29
2025 Quarter 1,Cromwell,1309,91.14
2025 Quarter 1,Danbury,5493,63.78
2025 Quarter 1,Darien,2985,135.56
2025 Quarter 1,Deep River,564,126.63
2025 Quarter 1,Derby,1171,94.39
2025 Quarter 1,Durham,679,94.25
2025 Quarter 1,East Granby,623,119.39
2025 Quarter 1,East Haddam,891,99.14
2025 Quarter 1,East Hampton,1512,116.41
2025 Quarter 1,East Hartford,2485,49.06
2025 Quarter 1,East Haven,2445,88.8
2025 Quarter 1,East Lyme,2544,134.4
2025 Quarter 1,East Windsor,407,36.44
2025 Quarter 1,Eastford,155,91.77
2025 Quarter 1,Easton,1343,175.88
2025 Quarter 1,Ellington,1427,83.97
2025 Quarter 1,Enfield,3801,93.18
2025 Quarter 1,Essex,625,91.88
2025 Quarter 1,Fairfield,7415,116.89
2025 Quarter 1,Farmington,2340,87.32
2025 Quarter 1,Franklin,233,123.22
2025 Quarter 1,Glastonbury,3776,107.26
2025 Quarter 1,Goshen,219,67.76
2025 Quarter 1,Granby,1044,92.81
2025 Quarter 1,Greenwich,7365,115.85
2025 Quarter 1,Griswold,1739,149.6
2025 Quarter 1,Groton,3153,83.24
2025 Quarter 1,Guilford,2714,123.25
2025 Quarter 1,Haddam,875,99.74
2025 Quarter 1,Hamden,3991,66.5
2025 Quarter 1,Hampton,233,133.91
2025 Quarter 1,Hartford,4547,38.0
2025 Quarter 1,Hartland,124,64.85
2025 Quarter 1,Harwinton,521,92.84
2025 Quarter 1,Hebron,931,101.79
2025 Quarter 1,Kent,292,95.24
2025 Quarter 1,Killingly,2041,113.74
2025 Quarter 1,Killingworth,708,113.21
2025 Quarter 1,Lebanon,716,100.73
2025 Quarter 1,Ledyard,2194,141.92
2025 Quarter 1,Lisbon,395,93.42
2025 Quarter 1,Litchfield,761,91.76
2025 Quarter 1,Lyme,135,56.04
2025 Quarter 1,Madison,2428,138.76
2025 Quarter 1,Manchester,4749,79.94
2025 Quarter 1,Mansfield,1285,50.59
2025 Quarter 1,Marlborough,679,111.2
2025 Quarter 1,Meriden,4466,74.3
2025 Quarter 1,Middlebury,795,100.18
2025 Quarter 1,Middlefield,394,92.55
2025 Quarter 1,Middletown,4526,94.32
2025 Quarter 1,Milford,5287,100.15
2025 Quarter 1,Monroe,1965,104.35
2025 Quarter 1,Montville,2436,136.75
2025 Quarter 1,Morris,162,71.3
2025 Quarter 1,Naugatuck,2491,78.28
2025 Quarter 1,New Britain,3975,53.66
2025 Quarter 1,New Canaan,2987,143.18
2025 Quarter 1,New Fairfield,1377,102.1
2025 Quarter 1,New Hartford,715,106.57
2025 Quarter 1,New Haven,7959,58.82
2025 Quarter 1,New London,2911,105.62
2025 Quarter 1,New Milford,2766,97.82
2025 Quarter 1,Newington,2658,85.12
2025 Quarter 1,Newtown,3293,119.0
2025 Quarter 1,Norfolk,149,93.36
2025 Quarter 1,North Branford,1465,109.21
2025 Quarter 1,North Canaan,223,69.6
2025 Quarter 1,North Haven,2514,103.48
2025 Quarter 1,North Stonington,470,91.0
2025 Quarter 1,Norwalk,6498,70.28
2025 Quarter 1,Norwich,4511,113.11
2025 Quarter 1,Old Lyme,1064,138.25
2025 Quarter 1,Old Saybrook,1277,120.8
2025 Quarter 1,Orange,1207,84.28
2025 Quarter 1,Oxford,1263,96.23
2025 Quarter 1,Plainfield,1772,116.63
2025 Quarter 1,Plainville,1753,100.22
2025 Quarter 1,Plymouth,1118,95.02
2025 Quarter 1,Pomfret,585,135.64
2025 Quarter 1,Portland,1079,114.45
2025 Quarter 1,Preston,702,145.37
2025 Quarter 1,Prospect,875,92.31
2025 Quarter 1,Putnam,1207,129.62
2025 Quarter 1,Redding,1103,126.51
2025 Quarter 1,Ridgefield,3023,121.25
2025 Quarter 1,Rocky Hill,1565,75.57
2025 Quarter 1,Roxbury,147,64.0
2025 Quarter 1,Salem,517,119.7
2025 Quarter 1,Salisbury,250,58.96
2025 Quarter 1,Scotland,54,34.22
2025 Quarter 1,Seymour,1559,91.96
2025 Quarter 1,Sharon,230,83.82
2025 Quarter 1,Shelton,3510,83.29
2025 Quarter 1,Sherman,355,100.57
2025 Quarter 1,Simsbury,2728,109.33
2025 Quarter 1,Somers,896,83.54
2025 Quarter 1,South Windsor,2037,76.08
2025 Quarter 1,Southbury,1796,89.23
2025 Quarter 1,Southington,4017,91.83
2025 Quarter 1,Sprague,429,145.92
2025 Quarter 1,Stafford,1174,101.5
2025 Quarter 1,Stamford,9356,68.68
2025 Quarter 1,Sterling,417,114.43
2025 Quarter 1,Stonington,2896,157.13
2025 Quarter 1,Stratford,3709,70.71
2025 Quarter 1,Suffield,1335,85.3
2025 Quarter 1,Thomaston,638,85.06
2025 Quarter 1,Thompson,753,80.23
2025 Quarter 1,Tolland,1386,95.1
2025 Quarter 1,Torrington,3363,94.6
2025 Quarter 1,Trumbull,3723,99.9
2025 Quarter 1,Union,51,63.99
2025 Quarter 1,Vernon,2865,93.64
2025 Quarter 1,Voluntown,298,114.09
2025 Quarter 1,Wallingford,4340,99.26
2025 Quarter 1,Warren,111,81.2
2025 Quarter 1,Washington,310,84.12
2025 Quarter 1,Waterbury,5987,52.07
2025 Quarter 1,Waterford,2813,141.86
2025 Quarter 1,Watertown,1867,83.82
2025 Quarter 1,West Hartford,7288,113.93
2025 Quarter 1,West Haven,3322,60.63
2025 Quarter 1,Westbrook,822,119.46
2025 Quarter 1,Weston,1841,177.98
2025 Quarter 1,Westport,3665,133.42
2025 Quarter 1,Wethersfield,2478,91.39
2025 Quarter 1,Willington,507,91.32
2025 Quarter 1,Wilton,2264,123.04
2025 Quarter 1,Winchester,986,96.33
2025 Quarter 1,Windham,2010,84.34
2025 Quarter 1,Windsor,1929,65.67
2025 Quarter 1,Windsor Locks,1093,87.24
2025 Quarter 1,Wolcott,1480,90.75
2025 Quarter 1,Woodbridge,927,102.76
2025 Quarter 1,Woodbury,976,98.97
2025 Quarter 1,Woodstock,739,88.55
